date,title,price,weight,kind,site,location
2022-08-24 12:35:57,"(드디어~ 첫수확! 초초초특가) 초록 아오리 햇사과 4kg(14-25과)(중소랜덤) 첫수확 초특가, 1",9900,4,아오리,Coupang,
2022-08-24 12:36:02,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",32900,5,부사,Coupang,경상남도
2022-08-24 12:36:07,"꿀당도 햇 홍로 사과 5kg, 홍로사과 5kg(17~18과)",32900,5,홍로,Coupang,
2022-08-24 12:36:16,"클라스가 다른 경북 햇 아오리사과 (가정용) 10kg, 1박스, 경북 햇 아오리사과 (가정용) 10kg 48-51과",18900,10,아오리,Coupang,경상남도
2022-08-24 12:36:25,"내고향농수산 청송 사과 부사 꿀사과 세척사과 명품 선물세트 사과직거래 가정용 흠집사과 못난이사과 흠과 5kg 10kg, 가정용 흠과 특당도 9kg 25~30과",39800,9,부사,Coupang,경상북도
2022-08-24 12:36:26,"푸드베이스 산지직송 초록사과, 4kg(19~24입), 1개",22900,4,,Coupang,
2022-08-24 12:36:30,"[장길영사과] 갈아먹는 알뜰사과 특대과 10kg(20~32과), 상세 설명 참조, 상세 설명 참조",19900,10,,Coupang,
2022-08-24 12:36:43,"경북 안동 명품 사과 5kg 선물세트 아오리 홍로 아리수 부사 안동댁사과 유명한곳 5키로 한박스 맛있는 꿀 햇 명품 프리미엄 가정용 흠집 흠사과 청 풋 못난이 기스, 01. 햇 아오리 사과, 3kg 중과, 12-15과 정품",19900,3,홍로,Coupang,경상남도
2022-08-24 12:36:45,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 05.가정용흠과 사과 2KG/대과",17900,2,,Coupang,
2022-08-24 12:36:48,"새콤달콤 햇 아오리 햇 사과 5KG (당일배송), 꼬마사과 4.5KG",12900,4.5,아오리,Coupang,
2022-08-24 12:36:51,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 10.가정용흠과 사과 5KG / 중과",33000,5,,Coupang,
2022-08-24 12:36:53,"경북영천 고당도 꿀사과 4.5kg, 소과 4kg",22500,4,,Coupang,경상북도
2022-08-24 12:37:00,"[장길영사과] 갈아먹는 알뜰사과 중소과 10kg(33~46과), 상세 설명 참조, 상세 설명 참조",15900,10,,Coupang,
2022-08-24 12:37:04,(용이다팜) 정품 가정용 사과10kg 홍로 (50과내외),24900,10,홍로,Coupang,
2022-08-24 12:37:08,"[청도 산지직송] 22년 청도 홍로사과 3kg 5kg 햇 사과 홍로 부사, 햇 사과(홍로) 3kg(21-25과)",13900,3,홍로,Coupang,경상북도
2022-08-24 12:37:11,"2022년 수확 빨간사과 [이음몰] 아삭 세척 사과 2.5kg, 1box, 1_아삭2.5kg 가정용[소과~꼬마](12~16과)",14900,12.5,,Coupang,
2022-08-24 12:37:13,"다조은 사과 + 배 세트 800g, 1팩",11000,0,,Coupang,
2022-08-24 12:37:16,"프레시잉 경북 아오리사과 2kg 3kg 5kg 10kg, 꼬마 아오리사과 3kg",7560,3,아오리,Coupang,경상남도
2022-08-24 12:37:19,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 09.가정용흠과 사과 5KG/ 소과",30000,5,,Coupang,
2022-08-24 12:37:22,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 11.가정용흠과 사과 5KG / 대과",38000,5,,Coupang,
2022-08-24 12:37:37,"2022년 수확 [이음몰] 아삭 세척 사과 2.5kg+2.5kg 1+1 원플러스원, 1box, 1_아삭 가정용[소과~꼬마](12~16과)1+1",27900,2.5,,Coupang,
2022-08-24 12:37:39,"경북 부사 사과 흠과 주스용 9kg(랜덤과), 단품",18520,9,부사,Coupang,경상남도
2022-08-24 12:37:42,"[명가] 경북 가정용 꿀사과 특가판매중, 1박스, 01.가정용흠과 사과 2kg/소과",12300,2,,Coupang,경상남도
2022-08-24 12:37:49,"경북 부사 꿀 사과 가정용 흠집 사과 백화점 농협 납품 산지 직송 10kg 5kg 3kg, 부사 꿀 사과 중소과 (39-43과) 10kg",48900,10,부사,Coupang,경상남도
2022-08-24 12:37:51,"[별담농]아침이슬사과 못난이 사과 5kg 10kg, 가을 햇 사과 꼬마(50-65)",31000,10,,Coupang,
2022-08-24 12:37:54,"[명가] 경북 가정용 꿀사과 특가판매중, 1박스, 05.가정용흠과 사과 5kg/소과",26300,5,,Coupang,경상남도
2022-08-24 12:37:58,"껍질째먹는 훈이네 경북 부사 청송 가정용 선물용 꿀사과 3kg 5kg 10kg, 소과(아침대용)5KG",31900,5,부사,Coupang,경상남도
2022-08-24 12:38:02,"클라스가 다른 경북 햇 아오리사과 (가정용) 10kg, 1박스, 경북 햇 아오리사과 (가정용) 10kg 44-47과",21900,10,아오리,Coupang,경상남도
2022-08-24 12:38:07,"산지직송 2022년 가정용 사과 햇 홍로 꿀사과, 5kg 중과",18900,5,홍로,Coupang,
2022-08-24 12:38:12,"산지에서 바로 가정용 사과 여름사과 아오리 중과 국내산 경북 꿀사과 3kg 이상 중소과 16과, 사과 16과",12500,3,아오리,Coupang,경상남도
2022-08-24 12:38:14,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",32900,5,부사,Coupang,경상남도
2022-08-24 12:38:16,"사과사랑 아삭아삭 사과, 가정용 사과 3kg 꼬마소과",12200,3,,Coupang,
2022-08-24 12:38:20,"껍질째먹는 훈이네 경북 부사 청송 가정용 선물용 꿀사과 3kg 5kg 10kg, 소과(아침대용)5KG",31900,5,부사,Coupang,경상남도
2022-08-24 12:38:24,"[장길영사과] 갈아먹는 알뜰사과 중소과 10kg(33~46과), 상세 설명 참조, 상세 설명 참조",15900,10,,Coupang,
2022-08-24 12:38:27,"FRESH 못난이 가정용 주스용 사과, 못난이 사과 3kg",11900,3,,Coupang,
2022-08-24 12:38:29,"아침이슬사과 [별담농]아침이슬사과 계절 주스용 사과 10kg, 겨울 주스용10kg",20610,10,,Coupang,
2022-08-24 12:38:33,"[시즌특가] 새콤달콤 여름 사과 경북 햇 아오리, 아오리 사과 4kg(24과내외)소",13900,4,아오리,Coupang,경상남도
2022-08-24 12:38:39,"푸릇푸릇 청송 사과 부사 꿀사과 세척사과 명품 선물세트 사과직거래 가정용 흠집사과 못난이사과 흠과 5kg 10kg, 가정용 흠과 특당도 9kg 25~30과",39750,9,부사,Coupang,경상북도
2022-08-24 12:38:42,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 11.가정용흠과 사과 5KG / 대과",38000,5,,Coupang,
2022-08-24 12:38:45,"아오리사과 4kg 정말 맛있는 사과 농원직송, 1박스, 4kg(아오리사과/26-29과)",13200,4,아오리,Coupang,
2022-08-24 12:38:48,"껍질째먹는 훈이네 경북 부사 청송 가정용 선물용 꿀사과 3kg 5kg 10kg, 소과(아침대용)5KG",31900,5,부사,Coupang,경상남도
2022-08-24 12:38:51,"풍기농협협동조합 국내산 썸머킹 사과 특, 2kg(9~12과 이내), 1박스",16500,2,,Coupang,세종특별자치시
2022-08-24 12:38:53,"[별담농]아침이슬사과 못난이 사과 5kg 10kg, 주스용10kg",23000,10,,Coupang,
2022-08-24 12:38:55,5kg 아오리사과 풋사과 햇사과 작은사이즈,14300,5,아오리,Coupang,
2022-08-24 12:39:01,"경북 청송 새콤달콤 햇 아오리 사과 썸머킹 청사과 풋사과 여름사과, 1.2kg내외-6과",9900,1.2,아오리,Coupang,경상남도
2022-08-24 12:39:08,"2022년 수확 빨간사과 [이음몰] 아삭 세척 사과 2.5kg, 1box, 1_아삭2.5kg 가정용[소과~꼬마](12~16과)",14900,12.5,,Coupang,
2022-08-24 12:39:11,"경북 햇 아오리 사과 (가정용) 5kg, 1박스, 아오리사과 (가정용) 5kg 29-33과",11900,5,아오리,Coupang,경상남도
2022-08-24 12:39:14,"산지직송 밀양얼음골 사과 하나팜 사과 5kg, 20-21과",27000,5,,Coupang,경상남도
2022-08-24 12:39:17,"달콤한 햇 홍로 세척 사과 2.5kg (12-14과 내외), 단품",15200,2.5,홍로,Coupang,
2022-08-24 12:39:20,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 07.가정용흠과 사과 5KG/ 주스용/심한흠집",24000,5,,Coupang,
2022-08-24 12:39:26,"프레시잉 경북 아오리사과 2kg 3kg 5kg 10kg, 꼬마 아오리사과 3kg",7560,3,아오리,Coupang,경상남도
2022-08-24 12:39:28,"FRESH 못난이 가정용 주스용 사과, 못난이 사과 2kg",8900,2,,Coupang,
2022-08-24 12:39:40,"경북 안동 명품 사과 5kg 선물세트 아오리 홍로 아리수 부사 안동댁사과 유명한곳 5키로 한박스 맛있는 꿀 햇 명품 프리미엄 가정용 흠집 흠사과 청 풋 못난이 기스, 01. 햇 아오리 사과, 3kg 대과, 10-13과 정품",22900,3,홍로,Coupang,경상남도
2022-08-24 12:39:43,"산지직송 2022년 가정용 사과 햇 홍로 꿀사과, 5kg 소과",16900,5,홍로,Coupang,
2022-08-24 12:39:48,"[만족도 1위] 쿠메푸드 산지직송 프리미엄 2022년 제철 햇 사과 선물용 설 추석 선물 세트, 프리미엄 햇사과 5kg",49800,5,,Coupang,
2022-08-24 12:39:54,"하이프루츠 저탄소 인증 초록 사과, 1kg(특, 4입), 1팩",10900,1,,Coupang,
2022-08-24 12:39:57,"[산들네] 껍질째 먹는 경북 세척 꼬마사과 4.5kg 28-33과내, 단품",23800,4.5,,Coupang,경상남도
2022-08-24 12:40:01,"[장길영사과] 사과 중과 5kg(17~19과), 상세 설명 참조, 상세 설명 참조",19900,5,,Coupang,
2022-08-24 12:40:07,"빨간 가을 홍로 부사 감홍 경북 청송 안동 영동 흠집 못난이 꿀 햇 가정용 사과 10kg, 선물용(백화점납품사과), 3kg, 중소과(12~14과)",26800,3,홍로,Coupang,경상남도
2022-08-24 12:40:09,아기양말 증정) 사과가쿵+달님안녕+사랑해사랑해사랑해 세트 (국민아기책),28200,0,,Coupang,
2022-08-24 12:40:11,"새콤하고 풋풋한 가정용 아오리사과, 아오리사과 8kg 중대과 18-38과내외",20900,8,아오리,Coupang,
2022-08-24 12:40:18,"내고향농수산 청송 사과 부사 꿀사과 세척사과 명품 선물세트 사과직거래 가정용 흠집사과 못난이사과 흠과 5kg 10kg, 가정용 흠과 특당도 9kg 25~30과",39800,9,부사,Coupang,경상북도
2022-08-24 12:40:21,"경북영천 고당도 꿀사과 4.5kg, 소과 4kg",22500,4,,Coupang,경상북도
2022-08-24 12:40:25,"공주네농장 새벽이슬맺힌 당도선별 사과 꿀 부사사과, 1박스, 01. 가정용 흠과 2KG / 소과",13800,2,부사,Coupang,충청남도
2022-08-24 12:40:27,"사과사랑 아삭아삭 사과, 가정용 사과 8kg 중대과",22900,8,,Coupang,
2022-08-24 12:40:31,"[산들네] 껍질째 먹는 경북 세척사과 5kg 28과내, 상세 설명 참조",31900,5,,Coupang,경상남도
2022-08-24 12:40:39,"사과 아오리& 썸머킹 아리수 홍로 시나노골드 부사 2kg 4kg 9kg, 사과 아오리&썸머킹 2kg (11~13과)",11900,2,홍로,Coupang,
2022-08-24 12:40:44,"사과사랑 아삭아삭 사과, 가정용 사과 8kg 소과",20300,8,,Coupang,
2022-08-24 12:40:48,산지직송 경북 꿀 사과 부사 가정용 못난이 흠과 쥬스용 10kg,24860,10,부사,Coupang,경상남도
2022-08-24 12:40:51,"세척사과 껍질채 먹는 고당도 단단한 정품 사과 꿀 부사, 4.5kg 1박스 (20-28과)",32200,4.5,부사,Coupang,
2022-08-24 12:40:57,"첫 수확 햇 아오리 사과 문경 찬미네농원 10kg 5kg, 1박스, 4. 문경 햇 아오리 사과 5kg 대과 16-18과",34400,5,아오리,Coupang,경상북도
2022-08-24 12:41:00,"풍기농협협동조합 국내산 썸머킹 사과 특, 2kg(9~12과 이내), 1박스",16500,2,,Coupang,세종특별자치시
2022-08-24 12:41:03,"여름 수확하는 초록 사과 신품종 썸머킹 아오리 사과, 세척 초록 사과 4.5kg",26160,4.5,아오리,Coupang,
2022-08-24 12:41:06,"사과사랑 아삭아삭 사과, 가정용 사과 8kg 꼬마소과",19200,8,,Coupang,
2022-08-24 12:41:09,"[이음몰] 2022 아삭 아오리 세척사과 2.5kg, 1box, 1_세척아오리 2.5kg가정용[소~꼬마](15~18)",9900,2.5,아오리,Coupang,
2022-08-24 12:41:10,일품자연 못난이사과 흠집사과 10kg,24000,10,,Coupang,
